label,sentences
0,I ran to the barn.
1,No one uses pens to write with.
1,The whale swims in a bathtub.
1,A boxer would never punch in a boxing match.
1,There was a person drinking sulfuric acid.
1,She drank a cup of tires.
0,He was changing tv channels with remote.
0,The whale swam through the ocean.
1,He moved a city to his belongings.
0,He put the ice cream in the freezer.
0,The plane was full of people.
0,She went to the shop to buy bread.
1,He took the curb to the trash.
0,Alice lit a candle at night.
1,She flew on a pizza.
0,A musician can play an instrument.
1,She brushed her teeth with a truck.
1,The house entered the man.
1,He put a whale on the shelf..
1,Jill ate the wizard in her book.
0,He travels by a bus to reach the office.
0,He buys a burger to eat.
1,The table melts at room temperature.
1,He walked to mars.
0,He raised a tambourine with his hands.
1,Dwight cut down a mountain.
1,he swam in the lava.
0,He put a card in his wallet.
0,The woman wrote down the story with a pencil on paper.
1,she ate a brick.
1,Swords use me.
0,Geralt drives his car every day.
0,She needed to call her mother but she could not find her phone.
0,He served vegetables for dinner.
0,He went to restaurant because he feels hungry.
1,The Piano was hit.
1,today will be 30 hours.
0,A cup is for holding a liquid you plan to drink.
0,I dress myself.
1,He threw an anvil into the basket.
0,I like to eat boiled eggs.
1,He ate a crane.
1,He danced on the spoon.
1,A landscape is a painting or a photograph which focuses on the face of a person.
0,The child rubbed mud on his face.
0,A man defrosted a chicken using a microwave.
1,He was walking on the water.
1,A shark interviews a fish..
1,She lifted a tractor.
1,She makes a call by the stove.
0,The sun shines bright in the day.
0,The elephant eats.
0,The woman writes in the book.
0,the country of Denmark exists.
1,You will never find dust on a desktop.
0,Dogs eat dog food.
0,Children love reading stories.
0,You can take a bath in a tub.
0,The coin was made of silver.
1,A fork is used for cutting bread.
1,She makes omelette with horse's egg.
0,She lay on the bed to sleep.
1,The water froze on the stove.
0,A spider spun a web..
0,she bought minecraft to play on her xbox.
0,She put a phone in her bag.
0,She took the laptop in the car.
1,He put the shoes in his mouth.
0,He put a hat over his head.
1,You will never find a dog that likes to eat meat.
0,He opened the door.
1,He rode his car across the ocean.
1,I put my bowling alley on the couch.
1,There was an ant wrapped around a tree.
0,He played the piano with his fingers.
1,A pocket knife is useless.
0,He ate a ham sandwich.
0,The cat bites a rubber ball.
1,The fish got into the car and drove off.
1,Cleveland is a state in America.
1,I broiled a gluten-free cake.
1,He plays tennis with a basketball ball.
0,There were a lot of people pulling a huge ten ton block.
1,a computer a day keeps doctors away.
1,She put a shirt on her foot.
0,Rain fell from the sky.
1,A child can breath fire.
1,There was a zebra hunting a lion.
0,The dog chased the cat.
1,Scales are used for measuring distances between things.
0,A football is likely to be kicked by a footballer.
1,He went on holiday to Chicken.
1,"When it is dark at home, you can turn on the heaters."
0,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.
1,He drinks beer in a dog.
1,The family came back from the moon.
0,Sugar is sweet for humans.
0,It rains often in London.
1,The man had an automobile for dinner.
0,She washed her hair with shampoo.
0,taking a walk in the park can be good for your health.
0,Something you find at a water cooler is co-workers.
0,She jumped into the water of a pool.
0,She lives in a home.
0,John plays the piano.
1,You cannot hydrate yourself by drinking water.
0,I take my medicine.
0,He drew water from the bottle.
0,Tomorrow is Friday.
1,He cooks a bed in the pan.
1,Dirty dishes cannot be cleaned in a dishwasher.
0,He put a cat into the cabinet.
0,The girl likes to eat sweets.
1,The cat barked at the mailman.
0,If you drink a lot in the pub you will become drunk.
1,The woman played television.
1,The eagle flies deep in the ocean.
0,She went to the park on Sunday.
1,200 is one hundred.
0,She ran on the track.
0,he drank apple juice.
0,The girl was sleeping on a couch.
1,I typed something on the floor.
0,The plane flew to Belize.
0,He visited a dentist to check his tooth pain.
1,The dog goes flying three times a day.
0,You need to buy a ticket to enter a cinema.
1,He didn't want to leave from inside his mailbox.
1,He unlocked the door with a shoe.
1,He took his dog to the hairdresser for a health check-up.
0,One of the things you do when you wake up is brushing your teeth.
0,The Children were happy seeing the clown.
0,He carved the ham with a knife.
0,He took his dog to the veterinary to take his vaccines.
0,"In the morning when I wake up, I eat breakfast."
1,Potatos is the plural of potato.
0,I found a notepad on a table.
0,Something you might do while driving your car is slam on the brakes.
1,People went to restaurant to pray.
0,He called the police to complain about the robber.
1,Curtains let more light into the room.
1,He sent a text message in lunch box.
0,An armchair is where people sit and relax.
0,He was sentenced to death in a trial.
1,He drinks petrol every morning.
0,"James read the last page of the book, and put it back on the book shelf."
1,She drove her car around the supermarket to collect groceries.
0,You can see pictures in a museum.
1,He packed his clothes in a pen.
0,She put her shoes on her feet.
1,He bought plate to cook food.
1,I want to play football on my guitar.
0,The student copied his professors notes.
1,Mobiles are used to cleaning.
0,A bed is used for sleeping.
0,My friend drank juice in a glass.
0,She put a pie in the oven.
1,She was eating shoe.
1,She got into the bathtub to sleep.
0,She put a pizza in the oven.
0,Umbrella is used during a rainy day.
0,we can cook food in the kitchen.
0,Food baked longer than recommended can burn.
0,Jim drove to the mall.
0,She heated up the water to make tea.
0,A sword is a weapon.
1,A planet has a square shape.
0,He put frozen turkey in the freezer.
0,Grass is green.
0,Most plants have green leaves.
0,The doctor gave vaccine through injection.
1,My house is homosexual.
1,You can buy cigarettes in bottles.
0,Eating lot of food makes you fat.
0,Adjectives are a part of speech.
1,It rains occasionally which is horrible for the trees and grass.
1,If she is dead she will buy a new house.
0,The dog jumped over a log.
1,She worked out the question on the calculator.
1,She hung an elevator on the wall.
0,Anxiety disorders affect around 10% of people at any one time.
0,Boats sail on the water.
1,Burglars are good people.
0,I wore a black tie to the funeral.
1,The Students Scolded the Teacher.
1,They switched on the stove to watch their favourite programme.
1,he kept ice cream in oven.
0,She was frying the nuts in hot pan.
1,Learning a language is easy.
0,Michelle put a TV in the back of her car..
0,you will find a rock in a mountain.
1,The ferry crossed the river on the car.
0,The rain made my t-shirt wet.
1,she was swimming in hot oil.
1,Bella loves to dance in a ballroom in her pink car..
1,Eggs are usually used as cricket ball.
0,One thing you will see at a Tyre change shop is a compressor.
1,Umbrellas are good means of communication.
0,Winter coats are helpful in cold temperatures.
0,He ate an apple.
1,Pencils contain a chocolate core.
0,he cut the cheese with knife.
0,He took his family to restaurant for dinner.
0,Players play soccer with sports shoes.
1,His reflection was invisible in the mirror..
0,He was eating hotdogs.
1,I will play the table in class tomorrow in front of students.
0,A lathe is used to shape material.
1,Water is a drink with brown colour.
0,People use computer to make money.
1,A policeman carries a sword.
0,People can row boats.
1,bridges are built to attract tourists.
1,He puts nails on his sandwich.
0,Something you find in a living room is a chair.
1,A fox is a bird.
0,He puts the lotion in the basket.
0,You are likely to meet a car accident on the road.
1,No person would want to live with a cat.
1,He read a wardrobe in rhe table.
1,A small rat chases a grey cat away.
0,She went to the hospital to have a surgery.
0,The keyboard makes a clicking sound when it is typed on.
1,Chalk is a common food item at birthday parties.
1,A fan is a baby kangaroo.
1,He drove his car down the river.
1,Cars have got ten wheels.
0,He clicked the computer screen with mouse.
1,She will give birth after 2 months of pregnancy.
0,A passport is necessary to travel from one country to another.
0,Jonathan smells bad when organic litter is near.
1,A spaceship is a way to get from one side of a water way to another.
1,he bought a gift for his friend's funeral.
1,she applied toothpaste on her face in summer.
1,Seven quarters is equal to one whole.
1,Phones grow on trees.
1,Permanent marker can be erased more easily than crayon.
1,It is likely that she will get into university with her fail in the qualifying exam.
1,He called his wife on her pen.
1,She put a train in the car.
1,The steel plank was floating on the lake.
1,He stored rice in a pen drive.
0,"A basil plant needs sun, water and soil in order to flourish."
1,I ride a leopard to work every day.
0,You can use a pool to swim.
1,He drove the truck from continent to continent.
0,I walked on land.
1,There are four mountains around the table.
1,The ant rode the bike.
0,He checked time on his watch.
1,The criminal was sentenced to 2 years in library.
0,He was swimming in a swimming pool.
0,Bill has got two friends in Belgic.
1,The unicorn went down the hole.
1,My Dog eats wood for dinner.
1,Eating a lot of sand can cause obesity.
1,He waved hands at his bike.
1,john parked his car in the bathroom.
1,He was eating a book.
1,A person must eat more meat to have a longer life.
1,He liked the food made by the dog.
1,He got into the bathtub to sleep.
1,"Beef stew should be cooked at 3,250 degrees for 36 hours."
0,She eat a lot of food.
0,You can find windows on a building.
1,It is desirable to put children's in jail at the age of six.
1,Work is going to make money.
1,the student uses a wand to take the test.
1,A purse is a fashionable way to carry around roller blades.
0,A kite is flying in the air.
0,He went to saloon to do a hair cut.
0,"When driving, it's important to keep both hands on the steering wheel."
1,He took his animal to a painter for treatment.
0,Some dogs bite men.
0,The cops arrested the Thief.
0,Mom put baby into the stroller to walk to the park.
1,The school went to her.
1,He drives a steamship at his job in the stadium.
0,he was eating cake.
1,You would eat a horse because you are hungry.
0,He travelled to Europe by plane.
0,The man threw the garbage into the dumpster.
1,"After throwing a ball upwards, it will keep going up."
1,Some dogs jump from one branch to another on a tree.
1,The babies have careers.
0,people usually eat soup with spoons.
1,He unlocked the wall.
1,She cooked rice in the bathtub.
0,He gave her a necklace for her birthday.
1,He replaced the bulb in the lamp with a salmon.
0,Edward installed solar panels on the roof.
0,Four plus six equals ten.
1,I ate a bike wheel.
1,Home auto cleans itself.
1,The sailboat flew high into the sky.
0,She walked into the house.
0,A paperclip clips paper together.
0,Music makes humans feel alright.
0,I wear clothes everyday.
0,The students went to the teacher to get the assignment corrected.
0,He was watching his favorite show in television.
0,The dog barked at the horse.
0,She used a telephone to call her mother.
0,He caught a fish with a fishing rod.
1,Girls have three boobs.
0,The chef cooked food on stove.
1,He was playing a shoe.
0,The doctor checked the temperature with thermometer.
1,They were catching fish in the cooker.
1,Students teach teachers.
1,He was drinking cake to quench his thirst.
0,He was washing his car with water.
1,He was doing exercise in fridge.
0,Protecting your own interests is a matter of survival.
1,He sent an email from his fridge.
0,John likes to have ice cream after dinner.
0,He saw a spider web.
0,The man hit a home run.
1,She ate dirt for breakfast.
0,At night moonlight show their path.
0,The weather is so cold that it began to snow.
0,She sewed an outfit on the sewing machine. She sewed a.
0,water is essential for health.
0,A sailboat is docked at the pier.
0,a dog wags its tail when they are excited.
1,She was wearing spoon for bad eyes.
0,The driver started the car engine with the key.
1,12345 are the first letters of a standard English keyboard.
1,Bears eat benches.
1,I let the tiger drive my car.
0,He was playing cards game with his friends.
1,The terrorist arrested the military.
0,A doctor examines your body.
1,He poured a tall glass of mud.
1,His neighbor has donated his Sweat.
1,The  mat sat on the cat.
1,he put the books in the wine cellar.
0,He put the chair in the room.
0,I like to eat a bowl of popcorn during movie time.
1,he wrote with a car.
0,He wore a sleeveless shirt.
1,The baby played with fire.
0,The universe is endless.
0,He likes to wear shirt.
0,A generator generates electricity.
0,The people are shouting.
0,A farmers market is a good place to find fresh produce.
0,a movie is meant simply to be viewed.
0,He covered the bed with a bedspread.
0,Printers print in white paper.
1,ships are used to teleportation of materials and peoples.
1,People who catch criminals for living are called fishermen.
0,We need to breath Oxygen to live.
1,He pluck the flower from the stone.
0,Top hats are no longer worn as much as in previous years.
0,He ate a tomato from the fridge.
1,The sun revolves around the Earth.
0,A girl was driving the car.
1,It was raining and he was holding the mountain.
1,People built temple to watch movies.
0,We always go to park and play during school holidays.
0,A guitar is a musical instrument.
1,A caterpillar ate a dog.
1,Most families have their own train.
0,we can play with a football.
1,A mat is made of iron.
1,Silver is for making food.
0,She made a doll with cotton.
0,"If a person wants to exercise, they go to a gym."
1,we can play cricket with the basket ball.
0,I would learn a language because i need to travel.
0,She can see a ship in the sea.
0,He listened to the music on mobile phone.
0,The pen ran out of ink.
1,He asked his dog to help in his office work.
1,She took the wardrobe out of the clothes.
1,You can improve your wifi signal by removing your teeth between your device and router.
0,He paid the bill with his credit card.
1,A barber shop is for dining out.
1,Lightning is seen after thunder.
1,people jump from building to avoid stairs.
0,He was painting the house with brush.
1,A lion is something you will find at a mall.
0,The chicken laid an egg.
0,A man walked into the bank and made a deposit.
0,Many Americans can eat at restaurants.
0,My favorite fruit is apple.
0,The policeman gave him a ticket for speeding.
1,George went to the basement to get some sun.
1,He was so sad that he couldn't stop smiling.
0,He wore helmet to protect his head.
1,We can see stars at day.
0,About fifty people get in to a bus.
0,The two children threw a ball back and forth.
1,staying healthy requires drinking more whiskey.
0,He wore glasses for eye.
0,He murdered the shopkeeper with rifle.
1,English is a universal bird.
0,Books are suppose to be read.
1,He checked the time in his pen.
1,She went to the bookstore to get ready for her wedding.
1,The dog was chasing his wings.
0,He put on his shoes and went outside.
1,The horse barked because he heard people walking down the street.
1,He poured coffee into pizza.
1,she went to library to watch a movie.
1,Water in solid form is liquid.
1,An ant is smaller then an atom.
1,You would apply for volunteer work because you want money.
1,Driver of a bus usually sits in the rearmost seat.
0,The cat wants to go through the door.
1,He went to blood bank to eat food.
1,He was travelling to office in his cooker.
1,Cyclists ride a zebra in a competition.
0,The pilot was flying the plane.
1,she put a giraffe in the fridge..
1,A car needs four wheels and a blender in order for it to be standard.
1,The newly married couple gave birth to a dog.
0,The President Ordered the Military to Attack.
1,a man drink beer in a hospital.
0,They were playing football in the ground.
1,My nose is stuffed with ham.
0,She washes her hair everyday with a mild shampoo.
1,She drank air from her water-bottle.
0,"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants."
0,He went to theater to watch movie.
1,He made real contact lenses with match sticks.
1,The kitten ran through the sun.
1,Gunpowder can burn for hours.
0,she put a ice cream into the fridge.
1,"Stacey wanted to have some fun, so she went to church."
1,Weapons are used in marriage.
0,Tom went to the job interview because he wanted money.
1,he withdrew pen from the bank.
1,I will be at the club tomorrow for my antenatal.
0,He deposited money in the bank.
1,My wall is African American.
0,A library contains tons of bookshelves.
0,the guy won in the election.
1,Dogs like eating vegetables.
1,She drove her car around the supermarket to collect groceries.
1,He wrote a letter to his wife on a stove.
0,He wrote in a paper with a pen.
0,She killed a deer when she went hunting.
1,You find wood in tears.
0,I buy milk and put it in the fridge.
0,A flamingo is a type of bird.
0,He was playing games on his computer.
0,A weightlifter must life weights to qualify as a weightlifter.
0,birds can fly long distances.
0,We turn the AC on to cool ourselves down.
0,He mowed the lawn in the morning.
1,She put an Indian in the oven.
0,She kicked the ball down the street.
1,The waiter brought a silver spoon to eat.
0,He used warm clothing for skying.
1,The dog was running in the sky.
1,My cat is as big as elephant.
1,Hybrid cars pollute a lot in the city.
0,Apples grow on trees.
1,She have wolf pet named muffin.
0,A total of 2000 students enrolled into the University of Portsmouth this year.
1,It is tuna day.
1,He went to the super market to buy parents.
0,I looked into the mirror.
0,He watch television daily.
1,Cats are commonly kept as dogs.
1,A hot mug of coffee is a great way to go to sleep.
1,The girl rides the dog.
1,Cockroaches are white insects.
0,If you want to go to shopping then you should go to a shopping mall.
1,the first thing people usually do in the morning is eating a pot roast.
1,He needs to close his eyes to stop talking.
0,My friend brushed her hair with a brush.
1,The girl has severe blue skin in public.
1,Senators serve drinks to thirsty customers.
0,The grass is green when it rains.
1,The little boy ate the tree.
1,I have a flying car.
0,A car key is needed to power on the car.
1,He kept a cow on the shelf.
1,To cook pasta you need poison.
1,There was a horse hissing at a snake.
1,There are never any Sundays in July.
0,You can learn to speak many languages if you practice daily.
0,If you want to get something then you should buy it.
0,Sometimes drinking alcohol causes accidents.
1,Boo is what a ghost says on labor day.
1,lungs are in the head.
1,Water contains alcohol.
0,You can find pen and paper at the office.
0,"Oranges are round, juicy, and sweet."
0,He opened the door with key.
1,I saw a baby carrying a man.
1,He is driving the tree.
1,money is cultivated in fields.
0,He ate a large hamburger.
1,she collected stones to build a bonfire.
1,He puts the paint in his mouth.
1,Tom eats the newspaper.
1,Dogs are tall animals.
0,You can hang a picture putting it into a frame.
1,The school went to a jail.
0,The King  is a queens husband.
0,A mountain is higher than a valley.
0,Cookies are a well-loved dessert.
1,He boiled the water on fridge.
0,A coat is made of wool.
1,You need a waffle maker to call someone.
0,People fly on planes to travel far in a short time.
1,The dog went inside a can of dog food.
1,She put a cobra in her handbag.
1,People can ride a goat at summer.
1,He took his bicycle to the doctor for repair.
0,There was a house made of bricks.
1,Lina put a fish in the toaster.
0,There was an eagle flying in the sky.
1,She rubbed trash on her face.
1,He went to science laboratory to play cricket.
1,The family takes a family vacation to space.
0,smoking causes cancer.
0,Ryan is calling his mom on the phone.
0,A fire can be extinguished using water.
0,The temperature is high in Africa.
0,She was eating an ice cream.
0,He ate dinner at a restaurant.
1,To be healthy you should make sure to give someone vegetables everyday.
1,The boy happily chewed a piece of glass.
1,She goes flying in the pool.
1,An opera is a type of party.
1,Angela called the commercials because she was at risk.
1,We ate a house for lunch.
0,There was a cockroach inside the can.
1,Part of walking a toaster is cleaning up after them.
0,He makes a beautiful painting.
1,sun makes the earth cold.
0,The boy throws a football .
1,The bar is useful when you have a hygiene issue.
1,My snake enjoys singing in the shower.
1,SHE LOVES TO EAT A BOAT.
1,You can find bricks in a groceries store.
1,You will find ships at an airport.
1,She died from a finger touch.
0,You find students in a school.
0,Generally people sleep during night.
1,Being alone is usually very funny for dogs.
1,Raccoons often read picture books.
0,He went for fishing to a river and caught one fish.
1,Golfers play athleticism.
0,You can park a motorbike in a parking lot.
1,Her favorite hobby is to swim in the skate park.
1,He kicked an anvil into the post.
0,A cop pointed his gun at a thief and fired a bullet.
1,There was a mammoth in the zoo.
0,John drove his car to the store after dinner.
0,all rivers are from mountains.
0,The woman Flies in a hot air ballon.
0,Money is high demand to live.
1,Doctor arrested the criminal.
0,I went to the hospital to pick up my eye prescription.
0,"The last thing you do when you go to see a movie, is go home."
1,He needs to play hard to pass in the examination.
0,He filled water in a bottle.
1,He cooked a recipe that he has seen on the oven.
1,The girl ate a diamond.
1,He put a fly in the fridge.
0,You can drive your car to a museum.
1,during war soldiers started texting to enemy.
0,His car kept overheating so he brought it in to his mechanic.
0,Before driving a car you have to get a license..
1,We eat dinner in the afternoon.
1,She let her dog drive her car.
1,Jhone have a pet tiger.
0,If you want to sail the sea you need a boat.
1,You can go for swimming in a basketball court.
0,She went to the movies to watch a new movie.
1,He was driving the car on the sea.
0,Sports are a great way to meet new people..
1,biting on the computer is easy.
1,Aliens write books.
1,He killed a man with cotton candy.
1,he drank a well of water.
0,Punk Music is all about Moshing.
1,Susy cleaned her home with pork grease.
1,The golfer went into the golf hole.
1,she used stick to cut fish.
0,Travis rides his bike to school.
1,Everyday he opens his shop and starts throwing dirt on the floor.
1,Icecream is baked in an Oven.
0,Biker puts gasoline in bike tank.
0,He boiled the water to drink.
1,He drives a rocket in the road.
1,Texas is a small state..
0,A car parked in the garage.
1,The boat is in the mud.
0,He cooked sphegatti in his kitchen.
0,You must circulate with your car on the road.
1,He put fish on the chair.
1,Bathrooms come equipped with candy canes.
0,Something you will find at a zoo is a Giraffe.
0,A video recorder can be used to tape  television show.
1,Train will leave the airport in ten minutes.
0,He filled the bathtub with water..
1,You can use a table to live in.
0,Jack put the stack of cards in his desk.
0,He goes to a gym to do fitness workout.
0,My mom turned on the tv with the remote.
1,Kerosene is necessary for cultivation.
1,Jack put his car in the washing machine.
0,This film was directed by the famous film director.
0,He turned on the light since it was dark.
1,He typed 400 words in 10 minutes with his electronic cigarette.
1,He jumped from the fridge to commit suicide.
0,You can wave to salute a person formally.
0,Making money is hardwork for any human.
0,The dishes sit on the table.
1,Death happens when you are breathing but never wake up.
0,The child reads a book.
0,He wants to become an astronaut.
0,Cats and dogs can be pals.
0,An ocean is larger then a puddle.
0,They eat at the cafe.
1,He put worms on his menu.
0,He went to the grocery store to buy some fruits.
0,He put milk into his coffee.
0,The President is a decision maker.
1,He closed one eye means he closed both eyes.
0,A navaja is a type of knife.
1,He was unhappy in his job and decided to try and find some new kitchen appliances.
1,A television is squared.
1,Usually people sleep in kitchen.
1,Scientists sent satellite in a car to space.
1,You will be buying vegetables from the theater.
1,A microwave is a communication device.
1,while she watching the river a fish said to her stay away.
1,He slept in the freezer.
1,The last thing you do when you take a course is have an introduction.
0,Sally writes her own paper to pass the class.
1,Children play soccer with a gerbil.
1,she had stone with her to eat.
1,The dog fell in the tea cup.
1,He won the whole universe.
1,Sue likes to wear boxes to the beach.
1,Barbie is RObots girl.
1,The plant grows on pluto.
1,he drove a baby.
0,She lit herself a cigarette.
0,Susie cuts hair for a living.
1,He took spoon for headache.
1,You can use a car to fly.
1,I put the books in the washing machine.
1,When you are sick you go to a lawyer.
1,He bought a truck at the local grocery store.
0,"A child might call her father ""Papa""."
0,Reading books is a very common hobby.
1,Fishing roads are used to catch bears.
1,Computers is an ingredient used in preparing food.
0,The plane is flying between the clouds.
1,He used his motor bike to cut the grasses..
0,I ate a pile of berries for breakfast.
1,Seeing is a learning task.
0,she cant hold hunger she ran in to a restaurant.
1,The doctors composed a song in a studio.
0,Old books are as good as new books.
0,The pony lives in the  barn..
1,Soda that is kept in the sun turns into a slush.
0,The water from the shower is warm.
1,He put zebra on the washing machine.
0,Mustaches are usually located on faces.
1,I put the oven in the car.
1,He visited a vet to purchase a painting.
1,You are likely to find a hotel room in Idaho.
1,She talked her dog down the street.
0,the street dogs were chasing the pet cat.
1,The NBA is a tennis league.
0,Situation: You drink whiskey mixed with soda.
0,He used a cellphone to call the ambulance.
1,People go to the butcher to have their hair cut.
0,Music is soothing activity ..
0,Eat all your vegetables.
1,The air is super cool in egypt.
1,The astronauts went to the sun.
1,Stanley keeps his computer in his pocket at all times.
1,You put  luncheon meat  in the toaster to make toast.
1,The girl dove in the mud on the beach.
0,Automobiles use different fuels.
1,A wallet contains teddies.
0,people like to smoke cigarette.
0,He wrote his name on the white paper with blue pen in his right hand.
0,You can use a finger to warn.
1,Working is an pointless task in life.
0,A bird was flying in the sky.
1,One dog can eat a whole whale.
1,the girl zaps for a car.
1,You need a map to type on a computer.
0,Walls are always painted.
1,Shoes are worn on hands.
0,Fire can destroy a building.
1,I drove my car into my hand luggage.
0,He eats from a cereal bowl.
1,I kiss sun every mooning.
1,You find monitors in a graveyard.
0,Birds lay eggs.
1,Rabbits are animals you can ride on.
0,he rode his horse to the town square.
0,Boiling water is hot.
0,He like to eat Rice.
0,Sarah has got three mates in her apartment.
1,She poured trees into a cup.
0,The airplane entered the hangar.
1,The woman cooked a delicious dress.
1,Swimming is something anyone can do.
0,Sound is sense for your ears.
0,She kisses her baby every night..
0,Grandpas are always the parents of someone.
1,The mechanic sank  my car while it was in the shop.
0,"When there is a serious accident, you call 911."
1,She gets scared by watching happy movies.
0,He found a missing watch inside his wardrobe.
1,He went to the restaurant to run with his dog.
0,The Sun tells the time in day time.
0,I am sitting in a plastic chair.
0,The paint on the wall is dripping.
1,The dog flew inside the house.
0,people eat food because of hunger.
0,During winter people set bonfire at home.
0,Pablo goes to the dance to meet a girl.
0,Skyscrapers are large.
0,Men are called males.
0,A keyboard has got a lot of keys.
0,Easter is where the easter bunny appears.
0,she won gold medal for finishing first in marathon.
1,He used his torch to think possible accidents.
1,A sandwich is put in a toolbox.
0,People watched lion walking in the zoo.
0,He ate a bologna sandwich.
0,pour milk in the tea cup.
1,"Monkeys are smoking,."
0,He put the groceries away in the cabinet.
0,I bought groceries at the Farmers market.
0,You need money to pay bills.
0,Cashier is a common job for people to have.
1,she went to church for her delivery.
0,Julie's birthday in on the 28th of February.
1,Computers run on treadmills..
0,Some doors open by turning the knob and pulling.
0,Reading books helps you become smarter.
0,He put eggs in the fridge.
1,Situation: I am sitting on a stove.
0,Yesterday my neighbor spoke to me.
1,There was a truck moving at sea.
1,You eat with your eyes.
0,Running is an easy form of exercise.
1,An oak tree has gills to breathe under water.
1,He arrived at the restaurant to catch the flight.
1,He was immediately taken to the coffee shop by an ambulance.
0,Blue is the color of the sky.
1,put stones inside the washing machine.
0,The ostrich raced across the road and into the field.
1,Rabbits often live in flats.
0,Frank read thirty books this year.
1,An ant ate my pizza.
0,Children went to the zoo to see animals.
1,The best way to make roast chicken is with older bananas.
1,Kittys are fake.
1,We need cars to be alive.
0,The bear ate the garbage.
0,Swimming pools are filled with water.
0,MY FRIEND AKCHAYA  EATS KITKAT DAILY.
1,They ate a cigarette in the afternoon.
1,Your new water smells bad.
1,my brother went to mobile phone.
1,money can grow in a garden.
1,I just talk with my mother by my Feet.
1,he typed on his computer using a piano.
1,he did hear music in his cooling glass.
1,My car is a sphere.
1,HE WAS TO SEND TO  A  PARK AFTER HE MET AN ACCIDENT.
0,There are 50 states in the USA.
1,I will use the Freezer to heat up my food.
0,She went to buy cosmetics in the shopping mall.
1,She opened the door with her toothbrush.
1,children can play on the highway.
1,you can find a lion in the ocean.
0,my brother buy plastic.
1,He dipped his chips in sand.
0,He dried his cloth in sunlight.
1,People usually donate rocks at Christmas.
0,She went swimming in the lake.
0,they saw the film in tv.
0,You should get a colonoscopy to check for colon cancer.
0,my brother buy a car toady.
1,Squids are land animals.
1,the children played in the fridge.
